"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","2295","","ConstructorTest","","ConstructorTest","","checkSelectionSectionFilling",""
"passed","","","2848","","ConstructorTest","","ConstructorTest","","isCorrectGoToMainPageWithPersonalOfficeButtonConstructor",""
"passed","","","2217","","ConstructorTest","","ConstructorTest","","checkSelectionSectionSauce",""
"passed","","","10731","","RegistrationUserTest","","RegistrationUserTest","","isRegistrationFailedShortPassword",""
"passed","","","10380","","RegistrationUserTest","","RegistrationUserTest","","isCorrectRegistrationUser",""
"passed","","","2206","","LoginUserTest","","LoginUserTest","","isCorrectLoginWithPersonalOffice",""
"passed","","","3071","","LoginUserTest","","LoginUserTest","","isCorrectLoginViaForgotPasswordPage",""
"passed","","","2702","","LoginUserTest","","LoginUserTest","","isCorrectLoginViaRegistrationPage",""
"passed","","","2188","","LoginUserTest","","LoginUserTest","","isCorrectLoginWithLoginButton",""
"passed","","","2180","","ConstructorTest","","ConstructorTest","","checkDefaultSelectedSectionBulka",""
"passed","","","2714","","ConstructorTest","","ConstructorTest","","isCorrectGoToMainPageWithPersonalOfficeLogStellarBurgers",""
"passed","","","2723","","GoToPersonalOfficeTest","","GoToPersonalOfficeTest","","isCorrectGotoPersonalOffice",""
"passed","","","2293","","ConstructorTest","","ConstructorTest","","checkSelectionSectionBulka",""
"passed","","","2647","","LogoutUserTest","","LogoutUserTest","","isCorrectGoToMainPageWithPersonalOfficeButtonConstructor",""
